Permission,CSAgents
- Access : Patch Active Policy Management,
- Access : Find Script Tag Config,
- Access : Get Script Tag Config,
- Access : Find Seo Config,
- Access : Patch Script Tag Config,
- Access : Patch Seo Config,
- Access : Find Global Config,
- Access : Patch Global Config,
- Access : Create Sign In Seo Config,
- Access : Create Upload Seo Config,
- Access : Create Sign In Global Config,
- Access : Create Upload Global Config,
- Access : Find Notify Config List,
- Access : Edit Notify Config List,
- Access : Find Payment Deposit Config,
- Access : Set Payment Deposit Config,
- Menu : Management,
- Access : Search Group,
- Access : View Group,
- Access : Get Details Group,
- Access : Create Group,
- Access : Edit Group,
- Access : View Event For Group,
- Access : Select Add Event For Group,
- Access : View Event For Admin,
- Access : Select Add Event For Admin,
- Access : Search Manage,
- Access : View Admin List,
- Access : Veiw Detail Admin,
- Access : Create Admin,
- Access : Edit Admin,
- Access : Select Group For Admin,
- Access : Veiw Event Custom Admin,
- Access : Select Event For Custom Admin,
- Access : Edit 2fa Status,
- Menu : Rebate,TRUE
- Access : Find Rebate Config,
- Access : Create Rebate Articles,
- Access : Patch Rebate Articles,
- Access : Create Rebate Rule,
- Access : Patch Rebate Rule,
- Access : Find Rebate Rule,
- Access : Get Rebate Rule,
- Access : Remove Rebate Articles,
- Access : Patch Rebate Config,
- Access : Find Rebate Transaction,TRUE
- Access : Search Rebate Transaction,TRUE
- Access : Find Rebate Transaction Detail,TRUE
- Access : Find Rebate Transfer,TRUE
- Access : Find Rebate History,TRUE
- Access : Search Rebate History,TRUE
- Access : Find Rebate History,TRUE
- Access : Search Rebate History,TRUE
- Access : Find Rebate Articles,
- Access : User Claim Rebate,
- Access : Find Rebate Member Detail,TRUE
- Menu : Cashback,TRUE
- Access : Find Cashback Config,
- Access : Create Cashback Articles,
- Access : Patch Cashback Articles,
- Access : Remove Cashback Articles,
- Access : Find Cashback Articles,
- Access : Create Cashback Rule,
- Access : Patch Cashback Rule,
- Access : Find Cashback Rule,
- Access : Get Cashback Rule,
- Access : Remove Cashback Rule,
- Access : Patch Cashback Config,
- Access : Find Cashback Transaction,TRUE
- Access : Search Cashback Transaction,TRUE
- Access : Find Rebate Transaction Detail,TRUE
- Access : Find Cashback Transfer,TRUE
- Access : Find Rebate Transaction History,TRUE
- Access : Search Rebate Transaction Detail,TRUE
- Access : Find Cashback Member Detail,TRUE
- Menu : Affiliate,
- Access : Create Affiliate Article,
- Access : Patch Affiliate Article,
- Access : Get Affiliate Rule,
- Access : Find Affiliate Rule,
- Access : Create Affiliate Rule,
- Access : Patch Affiliate Rule,
- Access : Patch Affiliate Config,
- Access : Find Affiliate Config,
- Access : Find Affiliate Domain,
- Access : Create Affiliate Domain,
- Access : Patch Affiliate Domain,
- Access : Remove Affiliate Domain,
- Access : Find Affiliate Maximum Config,
- Access : Find Affiliate Monthly Report,
- Access : Create Export Csv Affiliate Monthly Report,
- Access : Find Affiliate Transfer History,
- Access : Find Affiliate Transaction Member Per Level,
- Access : Find Affiliate Transaction View,
- Access : Find Affiliate Transaction Per Level,
- Access : Find Affiliate Transaction Detail,
- Access : Find Affiliate Transaction,
- Access : Find Affiliate Transaction Search,
- Access : Find Export Data Daily Affiliate,
- Access : Find Daily Affiliate Search,
- Access : Remove Affiliate Articles,
- Access : Export Csv Daily Affiliate,
- Access : Export Data Daily Affiliate,
- Access : Find Daily Affiliate Search,
- Access : Find Affiliate Member Detail,
- Menu : Report,TRUE
- Access : Search Game History,TRUE
- Access : Find Report Summery Partner,TRUE
- Access : Export Csv Daily Redeem Freespin,
- Access : Export Csv Web Daily Redeem Freespin,
- Access : Get Game History For Report,
- Access : Find Report Daily Freespin,TRUE
- Access : Find Report Web Daily Freespin,TRUE
- Access : Find Game History,TRUE
- Access : Export Game History Csv,
- Access : Find Report Daily,TRUE
- Access : Find First Time Deposit,TRUE
- Access : Find Topup Transaction,TRUE
